level,topic,english,chinese,verdict,plannedStatus,redrawMarked,hasVideoPath,visualProof,listenerProof,checks,promptPath
101,数字时间,Count from one to ten.,从一数到十,PASS,ready,no,no,"The girl points from the first shell to the last and says ""Count from one to ten.""",The boy touches each shell in order with his finger.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-101-count-from-one-to-ten.txt
102,数字时间,Count to twenty.,数到二十,PASS,ready,no,no,"The boy points across both rows and says ""Count to twenty.""",The girl counts along with her finger from row one to row two.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-102-count-to-twenty.txt
103,数字时间,Add one more.,再加一个,PASS,ready,no,no,"He places the extra date on the plate and says ""Add one more.""",The girl counts the new group with her finger.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-103-add-one-more.txt
104,数字时间,Take one away.,拿走一个,PASS,ready,no,no,"She moves that one shell away from the row and says ""Take one away.""",The boy counts the smaller row that remains.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-104-take-one-away.txt
105,数字时间,What time is it?,现在几点了,PASS,ready,no,no,"The boy points to the shadow and asks ""What time is it?""","The girl looks at the sky and answers ""Lunch time.""",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-105-what-time-is-it.txt
106,数字时间,It's morning time.,现在是早晨时间,PASS,ready,no,no,"The girl opens the tent flap and says ""It's morning time.""",The boy stretches and picks up his satchel.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-106-it-s-morning-time.txt
107,数字时间,It's night time.,现在是夜晚时间,PASS,ready,no,no,"The boy looks up and says ""It's night time.""",The girl folds the mat and points toward the tent.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-107-it-s-night-time.txt
108,数字时间,It takes one hour.,这需要一小时,PASS,ready,no,no,"The girl points to the hourglass and says ""It takes one hour.""",The boy waits patiently as the sand in the hourglass falls.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-108-it-takes-one-hour.txt
109,数字时间,Today is Monday.,今天是星期一,PASS,ready,no,no,"The boy points to the first day picture and says ""Today is Monday.""",The girl nods and opens her book for the first lesson of the week.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-109-today-is-monday.txt
110,数字时间,Tomorrow is Tuesday.,明天是星期二,PASS,ready,no,no,"The girl points to the next day spot and says ""Tomorrow is Tuesday.""",The boy places tomorrow's small book bag beside the tent.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-110-tomorrow-is-tuesday.txt
111,天气季节,It's sunny today.,今天是晴天,PASS,ready,no,no,"The girl looks up and says ""It's sunny today.""",The boy puts on a small sun hat.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-111-it-s-sunny-today.txt
112,天气季节,It's rainy today.,今天是雨天,PASS,ready,no,no,"The boy holds out one hand and says ""It's rainy today.""",The girl opens a small umbrella.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-112-it-s-rainy-today.txt
113,天气季节,It's windy today.,今天刮风,PASS,ready,no,no,"She holds her scarf and says ""It's windy today.""",The boy presses his hat down with both hands.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-113-it-s-windy-today.txt
114,天气季节,It's cloudy today.,今天多云,PASS,ready,no,no,"The boy points upward and says ""It's cloudy today.""",The girl lowers her sun hat because the shade is stronger.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-114-it-s-cloudy-today.txt
115,天气季节,Summer is hot.,夏天很热,PASS,ready,no,no,"The girl wipes her forehead and says ""Summer is hot.""",The boy offers a cup of cool water.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-115-summer-is-hot.txt
116,天气季节,Winter is cold.,冬天很冷,PASS,ready,no,no,"The boy hugs himself and says ""Winter is cold.""",The girl wraps her coral scarf tighter.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-116-winter-is-cold.txt
117,天气季节,Spring is warm.,春天很暖和,PASS,ready,no,no,"The girl holds her hands to the warm sun and says ""Spring is warm.""",The boy smells one flower gently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-117-spring-is-warm.txt
118,天气季节,Autumn is cool.,秋天很凉爽,PASS,ready,no,no,"The boy feels the cool air on his cheeks and says ""Autumn is cool.""",The girl puts on a light scarf.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-118-autumn-is-cool.txt
119,天气季节,It's raining.,下雨了,PASS,ready,no,no,"The girl holds out her palm and says ""It's raining.""",The boy opens the umbrella over both of them.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-119-it-s-raining.txt
120,天气季节,Snow is falling.,下雪了,PASS,ready,no,no,"The boy looks upward and says ""Snow is falling.""",The girl catches one snowflake on a mitten.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-120-snow-is-falling.txt
121,动物宠物,Feed the dog.,喂小狗,PASS,ready,no,no,"The girl places a little dog food in the bowl and says ""Feed the dog.""",The dog eats gently while the boy watches.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-121-feed-the-dog.txt
122,动物宠物,Walk the dog.,遛小狗,PASS,ready,no,no,"The boy holds the leash and says ""Walk the dog.""","The dog walks beside him calmly, not pulling.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-122-walk-the-dog.txt
123,动物宠物,Pet the cat.,摸摸小猫,PASS,ready,no,no,"The girl strokes the cat's back softly and says ""Pet the cat.""",The cat closes its eyes and purrs gently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-123-pet-the-cat.txt
124,动物宠物,Watch the fish.,看小鱼,PASS,ready,no,no,"The boy points quietly and says ""Watch the fish.""",The girl leans close without touching the water.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-124-watch-the-fish.txt
125,动物宠物,Don't chase the bird.,不要追小鸟,PASS,ready,no,no,"The girl reaches one hand out gently and says ""Don't chase the bird.""","The boy stops, lowers his hands, and watches from a distance.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-125-don-t-chase-the-bird.txt
126,动物宠物,Let the butterfly fly.,让蝴蝶飞走,PASS,ready,no,no,"The boy opens his own hands as a model and says ""Let the butterfly fly.""",The girl opens her hands and the butterfly flies upward.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-126-let-the-butterfly-fly.txt
127,动物宠物,Ride the horse.,骑马,PASS,ready,no,no,"The boy sits on the horse, holds the front strap, and says ""Ride the horse.""",The horse walks one slow safe step while the girl watches.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-127-ride-the-horse.txt
128,动物宠物,Milk the cow.,挤牛奶,PASS,ready,no,no,"The girl kneels safely beside the bucket and says ""Milk the cow.""",A small stream of milk goes into the bucket.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-128-milk-the-cow.txt
129,动物宠物,Brush the sheep.,给绵羊刷毛,PASS,ready,no,no,"The boy brushes the sheep's wool and says ""Brush the sheep.""",The sheep blinks and stands still.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-129-brush-the-sheep.txt
130,动物宠物,Collect the eggs.,收鸡蛋,PASS,ready,no,no,"The girl places the eggs one by one into a padded basket and says ""Collect the eggs.""",The boy holds the basket steady.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-130-collect-the-eggs.txt
131,动物园,I see a panda.,我看见一只熊猫,PASS,ready,no,no,"The girl points to the panda and says ""I see a panda.""",The boy follows her gaze to the panda.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-131-i-see-a-panda.txt
132,动物园,Watch the monkey.,看这只猴子,PASS,ready,no,no,"The boy points up and says ""Watch the monkey.""",The girl watches as the monkey swings gently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-132-watch-the-monkey.txt
133,动物园,The giraffe eats leaves.,长颈鹿吃树叶,PASS,ready,no,no,"The girl points to the giraffe's mouth and says ""The giraffe eats leaves.""",The boy watches the leaves disappear as the giraffe chews.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-133-the-giraffe-eats-leaves.txt
134,动物园,Look at the turtle.,看这只乌龟,PASS,ready,no,no,"The boy kneels, points gently, and says ""Look at the turtle.""",The girl crouches beside him and watches the turtle.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-134-look-at-the-turtle.txt
135,动物园,Hear the lion roar.,听狮子吼叫,PASS,ready,no,no,"The lion opens its mouth and the boy cups his ear, saying ""Hear the lion roar.""",The girl listens with wide but happy eyes.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-135-hear-the-lion-roar.txt
136,动物园,I see a tiger.,我看见一只老虎,PASS,ready,no,no,"The girl points to the tiger and says ""I see a tiger.""",The boy turns to see the tiger stripes.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-136-i-see-a-tiger.txt
137,动物园,The elephant is big.,大象很大,PASS,ready,no,no,"The boy spreads his arms wide and says ""The elephant is big.""",The girl looks up at the elephant.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-137-the-elephant-is-big.txt
138,动物园,The mouse is small.,小老鼠很小,PASS,ready,no,no,"The girl points with one finger and says ""The mouse is small.""",The boy crouches carefully to look without touching.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-138-the-mouse-is-small.txt
139,动物园,The snake is long.,蛇很长,PASS,ready,no,no,"The boy traces the long curve in the air and says ""The snake is long.""",The girl follows the snake from head to tail with her eyes.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-139-the-snake-is-long.txt
140,动物园,The camel is tall.,骆驼很高,PASS,ready,no,no,"The girl looks up, raises one hand high, and says ""The camel is tall.""",The boy stands near the camel's legs and looks upward.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-140-the-camel-is-tall.txt
141,出行交通,Let's take the bus.,我们坐公交车吧,PASS,ready,no,no,"The girl points to the bus and says ""Let's take the bus.""",The boy walks with her toward the open door.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-141-let-s-take-the-bus.txt
142,出行交通,Let's go by car.,我们坐小汽车去吧,PASS,ready,no,no,"The boy points to the car and says ""Let's go by car.""",The girl walks to the car and opens the passenger door.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-142-let-s-go-by-car.txt
143,出行交通,Let's go by bike.,我们骑自行车去吧,PASS,ready,no,no,"The girl puts on her helmet and says ""Let's go by bike.""",The boy puts on his helmet and holds his handlebars.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-143-let-s-go-by-bike.txt
144,出行交通,Let's take the train.,我们坐火车吧,PASS,ready,no,no,"The boy points to the train door and says ""Let's take the train.""",The girl steps toward the open train car.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-144-let-s-take-the-train.txt
145,出行交通,Get on the bus.,上公交车,PASS,ready,no,no,"The girl steps up through the door and says ""Get on the bus.""",The boy follows her onto the bus.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-145-get-on-the-bus.txt
146,出行交通,Get off the bus.,下公交车,PASS,ready,no,no,"The boy steps down from the bus and says ""Get off the bus.""",The girl follows him down to the sand.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-146-get-off-the-bus.txt
147,出行交通,Fasten your seatbelt.,系好安全带,PASS,ready,no,no,"The boy points to the belt and says ""Fasten your seatbelt.""",The girl pulls the belt across and clicks it in.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-147-fasten-your-seatbelt.txt
148,出行交通,Stop at the light.,在灯前停下,PASS,ready,no,no,"The girl lifts one palm and says ""Stop at the light.""",The boy stops the car before the light.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-148-stop-at-the-light.txt
149,出行交通,Go straight.,直走,PASS,ready,no,no,"The boy points forward and says ""Go straight.""",The girl walks forward on the straight path.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-149-go-straight.txt
150,出行交通,Turn left.,向左转,PASS,ready,no,no,"The girl points left with her whole arm and says ""Turn left.""",The boy turns his body and feet onto the left path.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-150-turn-left.txt
151,购物消费,How much is it?,它多少钱,PASS,ready,no,no,"The girl points to the scarf and asks ""How much is it?""",The boy seller shows a small number of toy coins without readable labels.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-151-how-much-is-it.txt
152,购物消费,That's too expensive.,那太贵了,PASS,ready,no,no,"The girl looks surprised, holds her small coin pouch, and says ""That's too expensive.""",The boy moves the big basket aside and shows a smaller item.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-152-that-s-too-expensive.txt
153,购物消费,Can I pay now?,我现在可以付款吗,PASS,ready,no,no,"She looks at the boy seller and asks ""Can I pay now?""",The boy opens a small tray for the coins.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-153-can-i-pay-now.txt
154,购物消费,I'll buy this.,我要买这个,PASS,ready,no,no,"The boy points only to the bracelet and says ""I'll buy this.""",The girl seller moves the bracelet toward him.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-154-i-ll-buy-this.txt
155,购物消费,"I want this, please.",请给我这个,PASS,ready,no,no,"The girl points to the toy camel and says ""I want this, please.""",The boy seller hands her the toy camel.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-155-i-want-this-please.txt
156,购物消费,Here is your change.,这是找你的零钱,PASS,ready,no,no,"The boy places the coin in her palm and says ""Here is your change.""",The girl looks at the coin and puts it into her pouch.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-156-here-is-your-change.txt
157,购物消费,Save your money.,把钱存起来,PASS,ready,no,no,"The girl points to his small coin jar and says ""Save your money.""",The boy drops the coins into the jar instead of buying.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-157-save-your-money.txt
158,购物消费,Count the money.,数一数钱,PASS,ready,no,no,"The girl points to each coin and says ""Count the money.""",The boy moves each coin into a neat row as he counts.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-158-count-the-money.txt
159,购物消费,This is cheap.,这个便宜,PASS,ready,no,no,"The boy points to the bracelet and says ""This is cheap.""",The girl smiles because the price uses just a few coins.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-159-this-is-cheap.txt
160,购物消费,This one is expensive.,这个很贵,PASS,ready,no,no,"The girl points to the basket and says ""This one is expensive.""",The boy looks at his smaller coin pouch and shakes his head.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-160-this-one-is-expensive.txt
161,学校学习,Read the book.,读这本书,PASS,ready,no,no,"The boy opens the book and says ""Read the book.""",The girl looks at the pictures while he reads softly.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-161-read-the-book.txt
162,学校学习,Write the word.,写这个单词,PASS,ready,no,no,"The girl writes one short blurred word-like mark and says ""Write the word.""",The boy watches the pencil move from left to right.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-162-write-the-word.txt
163,学校学习,Draw a picture.,画一幅画,PASS,ready,no,no,"The boy draws a simple sun picture and says ""Draw a picture.""",The girl watches the picture appear.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-163-draw-a-picture.txt
164,学校学习,Do your homework.,做你的作业,PASS,ready,no,no,"The girl points to the worksheet and says ""Do your homework.""",The boy draws one line to finish the picture task.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-164-do-your-homework.txt
165,学校学习,Ask a question.,问一个问题,PASS,ready,no,no,"He raises his hand a little and says ""Ask a question.""",The girl listens and opens her palm to him.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-165-ask-a-question.txt
166,学校学习,Answer the question.,回答这个问题,PASS,ready,no,no,"The boy points to the cup and says ""Answer the question.""","He adds ""A shell."" and the girl lifts the cup to reveal the shell.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-166-answer-the-question.txt
167,学校学习,Let's learn English.,我们学英语吧,PASS,ready,no,no,"The girl opens the book and says ""Let's learn English.""",The boy repeats one simple greeting after her.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-167-let-s-learn-english.txt
168,学校学习,"Speak English, please.",请说英语,PASS,ready,no,no,"The girl touches her ear, then points to his mouth, and says ""Speak English, please.""","The boy says ""Water, please."" and she gives him the cup.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-168-speak-english-please.txt
169,学校学习,Try your best.,尽力试试,PASS,ready,no,no,"The girl gives a thumbs-up and says ""Try your best.""","The boy breathes, places the block carefully, and keeps trying.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-169-try-your-best.txt
170,学校学习,Try again.,再试一次,PASS,ready,no,no,"The boy hands the string back and says ""Try again.""",The girl runs once more and the kite rises this time.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-170-try-again.txt
171,音乐艺术,Sing a song.,唱一首歌,PASS,ready,no,no,"She sings a short melody and says ""Sing a song.""",The boy listens and claps gently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-171-sing-a-song.txt
172,音乐艺术,Play the piano.,弹钢琴,PASS,ready,no,no,"The boy presses the keys and says ""Play the piano.""",The girl sways to the simple tune.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-172-play-the-piano.txt
173,音乐艺术,Play the drum.,打鼓,PASS,ready,no,no,"The girl taps the drum with both hands and says ""Play the drum.""",The boy claps once to the beat.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-173-play-the-drum.txt
174,音乐艺术,You dance well.,你跳得很好,PASS,ready,no,no,"The girl watches him, claps, and says ""You dance well.""",The boy bows with a proud smile.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-174-you-dance-well.txt
175,音乐艺术,Draw a line.,画一条线,PASS,ready,no,no,"The boy pulls one stick straight across the sand and says ""Draw a line.""",The girl follows the straight line with her finger.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-175-draw-a-line.txt
176,音乐艺术,Paint it red.,把它涂成红色,PASS,ready,no,no,"The girl dips a brush into the red paint and says ""Paint it red.""",The boy watches the pot turn red.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-176-paint-it-red.txt
177,音乐艺术,Let's make music.,我们做音乐吧,PASS,ready,no,no,"The boy lifts the shaker and says ""Let's make music.""",The girl taps the drum softly in time.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-177-let-s-make-music.txt
178,音乐艺术,Clap the rhythm.,拍节奏,PASS,ready,no,no,"She claps the same beat and says ""Clap the rhythm.""",The boy copies the clap pattern.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-178-clap-the-rhythm.txt
179,音乐艺术,The sound is loud.,声音很大,PASS,ready,no,no,"He points to the drum and says ""The sound is loud.""",The girl covers her ears gently but smiles.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-179-the-sound-is-loud.txt
180,音乐艺术,The sound is soft.,声音很轻,PASS,ready,no,no,"She listens closely and says ""The sound is soft.""",The boy leans in to hear the quiet bell.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-180-the-sound-is-soft.txt
181,运动比赛,Kick the ball.,踢这个球,PASS,ready,no,no,"The girl points to the ball and says ""Kick the ball.""",The boy kicks the ball gently toward her.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-181-kick-the-ball.txt
182,运动比赛,Throw the ball.,扔这个球,PASS,ready,no,no,"He lifts it toward the girl and says ""Throw the ball.""",He throws the ball gently through the air.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-182-throw-the-ball.txt
183,运动比赛,Catch the ball.,接住这个球,PASS,ready,no,no,"She says ""Catch the ball."" and tosses it slowly.",The boy catches the ball with both hands.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-183-catch-the-ball.txt
184,运动比赛,Bounce the ball.,拍这个球,PASS,ready,no,no,"The boy pushes the ball down and says ""Bounce the ball.""",The ball bounces back up clearly.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-184-bounce-the-ball.txt
185,运动比赛,Let's run a race.,我们赛跑吧,PASS,ready,no,no,"The girl points to the finish palm and says ""Let's run a race.""",Both children line up and run together.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-185-let-s-run-a-race.txt
186,运动比赛,Swim fast!,游快点,PASS,ready,no,no,"The girl calls from the edge and says ""Swim fast!""",The boy kicks across the short pool with quick splashes.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-186-swim-fast.txt
187,运动比赛,Jump rope.,跳绳,PASS,ready,no,no,"She swings it slowly and says ""Jump rope.""",The boy watches as she jumps over it once.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-187-jump-rope.txt
188,运动比赛,Play soccer.,踢足球,PASS,ready,no,no,"The boy taps the ball with his foot and says ""Play soccer.""",The girl runs beside him and blocks gently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-188-play-soccer.txt
189,运动比赛,You scored a goal!,你进球了,PASS,ready,no,no,"The girl points to the goal and says ""You scored a goal!""",The boy lifts his arms happily after the ball crosses the posts.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-189-you-scored-a-goal.txt
190,运动比赛,We won the game!,我们赢了比赛,PASS,ready,no,no,"The boy raises both hands and says ""We won the game!""",The girl raises her hands too because they won as a team.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-190-we-won-the-game.txt
191,职业梦想,I want to be a doctor.,我想当医生,PASS,ready,no,no,"The girl puts the stethoscope around her neck and says ""I want to be a doctor.""",The boy offers his wrist for a pretend check.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-191-i-want-to-be-a-doctor.txt
192,职业梦想,I want to be a teacher.,我想当老师,PASS,ready,no,no,"The girl points to one picture and says ""I want to be a teacher.""",The boy listens and repeats a simple word.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-192-i-want-to-be-a-teacher.txt
193,职业梦想,I want to be a cook.,我想当厨师,PASS,ready,no,no,"The boy stirs the pot and says ""I want to be a cook.""",The girl smells the pretend soup and smiles.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-193-i-want-to-be-a-cook.txt
194,职业梦想,I want to be a driver.,我想当司机,PASS,ready,no,no,"The girl holds the wheel and says ""I want to be a driver.""",The boy sits beside her and fastens a pretend belt.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-194-i-want-to-be-a-driver.txt
195,职业梦想,I want to be a singer.,我想当歌手,PASS,ready,no,no,"The boy holds the flower and says ""I want to be a singer.""",The girl claps while he sings one soft note.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-195-i-want-to-be-a-singer.txt
196,职业梦想,I want to be a player.,我想当运动员,PASS,ready,no,no,"She bounces the ball and says ""I want to be a player.""",The boy cheers and passes the ball back.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-196-i-want-to-be-a-player.txt
197,职业梦想,I want to be a scientist.,我想当科学家,PASS,ready,no,no,"The boy looks through the magnifying glass and says ""I want to be a scientist.""",The girl watches him study the leaf carefully.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-197-i-want-to-be-a-scientist.txt
198,职业梦想,I want to be an artist.,我想当艺术家,PASS,ready,no,no,"She paints one gentle flower and says ""I want to be an artist.""",The boy watches the picture appear.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-198-i-want-to-be-an-artist.txt
199,职业梦想,I want to be a writer.,我想当作家,PASS,ready,no,no,"The boy moves the pencil across the page and says ""I want to be a writer.""","The girl looks at the blank-picture page beside him, not at readable text.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-199-i-want-to-be-a-writer.txt
200,职业梦想,What do you want to be?,你想当什么,PASS,ready,no,no,"The girl looks at the boy, opens one palm toward the props, and asks ""What do you want to be?""","The boy picks up the stethoscope and answers ""A doctor.""",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-200-what-do-you-want-to-be.txt
