level,topic,oldEnglish,newEnglish,chinese,pepBridge,audioKey,ttsText,speaker,audioStatus,audioUrl
144,出行交通,By train,Let's take the train.,我们坐火车吧,PEP社区生活主题拓展,let's take the train,Let's take the train.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_take_the_train.mp3
145,出行交通,Get on,Get on the bus.,上公交车,PEP社区生活主题拓展,get on the bus,Get on the bus.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/get_on_the_bus.mp3
146,出行交通,Get off,Get off the bus.,下公交车,PEP社区生活主题拓展,get off the bus,Get off the bus.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/get_off_the_bus.mp3
147,出行交通,Fasten seatbelt,Fasten your seatbelt.,系好安全带,PEP社区生活主题拓展,fasten your seatbelt,Fasten your seatbelt.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/fasten_your_seatbelt.mp3
148,出行交通,Traffic light,Stop at the light.,在灯前停下,PEP社区生活主题拓展,stop at the light,Stop at the light.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/stop_at_the_light.mp3
149,出行交通,Go straight,Go straight.,直走,PEP社区生活主题拓展,go straight,Go straight.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/go_straight.mp3
150,出行交通,Turn left,Turn left.,向左转,PEP社区生活主题拓展,turn left,Turn left.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/turn_left.mp3
151,购物消费,How much,How much is it?,它多少钱,PEP三上 U6 Useful numbers,how much is it,How much is it?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/how_much_is_it.mp3
152,购物消费,Too expensive,That's too expensive.,那太贵了,PEP三上 U6 Useful numbers,that's too expensive,That's too expensive.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/that_s_too_expensive.mp3
153,购物消费,Can I pay,Can I pay now?,我现在可以付款吗,PEP三上 U6 Useful numbers,can i pay now,Can I pay now?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/can_i_pay_now.mp3
154,购物消费,Buy this,I'll buy this.,我要买这个,PEP三上 U6 Useful numbers,i'll buy this,I'll buy this.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_ll_buy_this.mp3
155,购物消费,Sell that,"I want this, please.",请给我这个,PEP三上 U6 Useful numbers,"i want this, please","I want this, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_this__please.mp3
156,购物消费,Keep change,Here is your change.,这是找你的零钱,PEP三上 U6 Useful numbers,here is your change,Here is your change.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/here_is_your_change.mp3
157,购物消费,Save money,Save your money.,把钱存起来,PEP三上 U6 Useful numbers,save your money,Save your money.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/save_your_money.mp3
158,购物消费,Count money,Count the money.,数一数钱,PEP三上 U6 Useful numbers,count the money,Count the money.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/count_the_money.mp3
159,购物消费,Cheap price,This is cheap.,这个便宜,PEP三上 U6 Useful numbers,this is cheap,This is cheap.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/this_is_cheap.mp3
160,购物消费,High price,This one is expensive.,这个很贵,PEP三上 U6 Useful numbers,this one is expensive,This one is expensive.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/this_one_is_expensive.mp3
161,学校学习,Read book,Read the book.,读这本书,PEP三上 U1 Making friends,read the book,Read the book.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/read_the_book.mp3
162,学校学习,Write word,Write the word.,写这个单词,PEP三上 U1 Making friends,write the word,Write the word.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/write_the_word.mp3
163,学校学习,Draw picture,Draw a picture.,画一幅画,PEP三上 U1 Making friends,draw a picture,Draw a picture.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/draw_a_picture.mp3
164,学校学习,Do homework,Do your homework.,做你的作业,PEP三上 U1 Making friends,do your homework,Do your homework.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/do_your_homework.mp3
165,学校学习,Ask question,Ask a question.,问一个问题,PEP三上 U1 Making friends,ask a question,Ask a question.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/ask_a_question.mp3
166,学校学习,Answer question,Answer the question.,回答这个问题,PEP三上 U1 Making friends,answer the question,Answer the question.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/answer_the_question.mp3
167,学校学习,Learn English,Let's learn English.,我们学英语吧,PEP三上 U1 Making friends,let's learn english,Let's learn English.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_learn_english.mp3
168,学校学习,Speak English,"Speak English, please.",请说英语,PEP三上 U1 Making friends,"speak english, please","Speak English, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/speak_english__please.mp3
169,学校学习,Study hard,Try your best.,尽力试试,PEP三上 U1 Making friends,try your best,Try your best.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/try_your_best.mp3
170,学校学习,Try again,Try again.,再试一次,PEP三上 U1 Making friends,try again,Try again.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/try_again.mp3
171,音乐艺术,Sing song,Sing a song.,唱一首歌,PEP跨学科活动主题拓展,sing a song,Sing a song.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/sing_a_song.mp3
172,音乐艺术,Play piano,Play the piano.,弹钢琴,PEP跨学科活动主题拓展,play the piano,Play the piano.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/play_the_piano.mp3
173,音乐艺术,Play drum,Play the drum.,打鼓,PEP跨学科活动主题拓展,play the drum,Play the drum.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/play_the_drum.mp3
174,音乐艺术,Dance well,You dance well.,你跳得很好,PEP跨学科活动主题拓展,you dance well,You dance well.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/you_dance_well.mp3
175,音乐艺术,Draw line,Draw a line.,画一条线,PEP跨学科活动主题拓展,draw a line,Draw a line.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/draw_a_line.mp3
176,音乐艺术,Paint red,Paint it red.,把它涂成红色,PEP跨学科活动主题拓展,paint it red,Paint it red.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/paint_it_red.mp3
177,音乐艺术,Make music,Let's make music.,我们做音乐吧,PEP跨学科活动主题拓展,let's make music,Let's make music.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_make_music.mp3
178,音乐艺术,Clap rhythm,Clap the rhythm.,拍节奏,PEP跨学科活动主题拓展,clap the rhythm,Clap the rhythm.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/clap_the_rhythm.mp3
179,音乐艺术,Loud sound,The sound is loud.,声音很大,PEP跨学科活动主题拓展,the sound is loud,The sound is loud.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_sound_is_loud.mp3
180,音乐艺术,Soft sound,The sound is soft.,声音很轻,PEP跨学科活动主题拓展,the sound is soft,The sound is soft.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_sound_is_soft.mp3
181,运动比赛,Kick ball,Kick the ball.,踢这个球,PEP同伴活动主题拓展,kick the ball,Kick the ball.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/kick_the_ball.mp3
182,运动比赛,Throw ball,Throw the ball.,扔这个球,PEP同伴活动主题拓展,throw the ball,Throw the ball.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/throw_the_ball.mp3
183,运动比赛,Catch ball,Catch the ball.,接住这个球,PEP同伴活动主题拓展,catch the ball,Catch the ball.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/catch_the_ball.mp3
184,运动比赛,Bounce ball,Bounce the ball.,拍这个球,PEP同伴活动主题拓展,bounce the ball,Bounce the ball.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/bounce_the_ball.mp3
185,运动比赛,Run race,Let's run a race.,我们赛跑吧,PEP同伴活动主题拓展,let's run a race,Let's run a race.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_run_a_race.mp3
186,运动比赛,Swim fast,Swim fast!,游快点,PEP同伴活动主题拓展,swim fast,Swim fast!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/swim_fast.mp3
187,运动比赛,Jump rope,Jump rope.,跳绳,PEP同伴活动主题拓展,jump rope,Jump rope.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/jump_rope.mp3
188,运动比赛,Play soccer,Play soccer.,踢足球,PEP同伴活动主题拓展,play soccer,Play soccer.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/play_soccer.mp3
189,运动比赛,Score goal,You scored a goal!,你进球了,PEP同伴活动主题拓展,you scored a goal,You scored a goal!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/you_scored_a_goal.mp3
190,运动比赛,Win game,We won the game!,我们赢了比赛,PEP同伴活动主题拓展,we won the game,We won the game!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/we_won_the_game.mp3
191,职业梦想,I want to be,I want to be a doctor.,我想当医生,PEP社会角色主题拓展,i want to be a doctor,I want to be a doctor.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_doctor.mp3
192,职业梦想,Be a doctor,I want to be a teacher.,我想当老师,PEP社会角色主题拓展,i want to be a teacher,I want to be a teacher.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_teacher.mp3
193,职业梦想,Be a teacher,I want to be a cook.,我想当厨师,PEP社会角色主题拓展,i want to be a cook,I want to be a cook.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_cook.mp3
194,职业梦想,Be a cook,I want to be a driver.,我想当司机,PEP社会角色主题拓展,i want to be a driver,I want to be a driver.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_driver.mp3
195,职业梦想,Be a driver,I want to be a singer.,我想当歌手,PEP社会角色主题拓展,i want to be a singer,I want to be a singer.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_singer.mp3
196,职业梦想,Be a singer,I want to be a player.,我想当运动员,PEP社会角色主题拓展,i want to be a player,I want to be a player.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_player.mp3
197,职业梦想,Be a player,I want to be a scientist.,我想当科学家,PEP社会角色主题拓展,i want to be a scientist,I want to be a scientist.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_scientist.mp3
198,职业梦想,Be a scientist,I want to be an artist.,我想当艺术家,PEP社会角色主题拓展,i want to be an artist,I want to be an artist.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_an_artist.mp3
199,职业梦想,Be an artist,I want to be a writer.,我想当作家,PEP社会角色主题拓展,i want to be a writer,I want to be a writer.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_want_to_be_a_writer.mp3
200,职业梦想,Be a writer,What do you want to be?,你想当什么,PEP社会角色主题拓展,what do you want to be,What do you want to be?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/what_do_you_want_to_be.mp3
