map_world,level_id,item_text,chinese_meaning,topic,item_type,spoken_focus,source_video_name,status,source_field,confidence,final_prompt_chars,source_file
desert,122,I'm excited,我很兴奋,,phrase/task label,I'm excited now.,level-122-i-m-excited,ready,"finalPrompt: target meaning ""中文 / English""",1,8865,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,123,I'm tired,我累了,,phrase/task label,I'm tired now.,level-123-i-m-tired,ready,"finalPrompt: target meaning ""中文 / English""",1,8864,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,124,It's big,它很大,,phrase/task label,It is big.,level-124-it-s-big,ready,"finalPrompt: target meaning ""中文 / English""",1,8832,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,125,It's small,它很小,,phrase/task label,It is small.,level-125-it-s-small,ready,"finalPrompt: target meaning ""中文 / English""",1,8857,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,126,It's long,它很长,,phrase/task label,It is long.,level-126-it-s-long,ready,"finalPrompt: target meaning ""中文 / English""",1,8786,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,127,It's short,它很短,,phrase/task label,It is short.,level-127-it-s-short,ready,"finalPrompt: target meaning ""中文 / English""",1,8812,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,128,How do you feel?,你感觉怎么样？,,phrase/task label,How do you feel?,level-128-how-do-you-feel,ready,"finalPrompt: target meaning ""中文 / English""",1,8867,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,129,I feel happy,我感到开心,,phrase/task label,I feel happy now.,level-129-i-feel-happy,ready,"finalPrompt: target meaning ""中文 / English""",1,8930,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,130,This is beautiful,这很漂亮,,phrase/task label,This is beautiful.,level-130-this-is-beautiful,ready,"finalPrompt: target meaning ""中文 / English""",1,8911,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,131,I like it,我喜欢它,,phrase/task label,I like it.,level-131-i-like-it,ready,"finalPrompt: target meaning ""中文 / English""",1,8849,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,132,Tell your feeling,说出你的感受,,phrase/task label,Choose one face.,level-132-tell-your-feeling,ready,"finalPrompt: target meaning ""中文 / English""",1,8907,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,133,feeling face card,表情卡,,phrase/task label,This card has no face.,level-133-feeling-face-card,ready,"finalPrompt: target meaning ""中文 / English""",1,8973,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,134,describe my toy,描述我的玩具,,phrase/task label,Hold the toy still.,level-134-describe-my-toy,ready,"finalPrompt: target meaning ""中文 / English""",1,8865,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,135,show and say,展示并说明,,phrase/task label,Hold it up gently.,level-135-show-and-say,ready,"finalPrompt: target meaning ""中文 / English""",1,8855,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,136,express yourself,表达自己,,phrase/task label,Pick a face first.,level-136-express-yourself,ready,"finalPrompt: target meaning ""中文 / English""",1,8899,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,137,my pencil,我的铅笔,,phrase/task label,I see my pencil.,level-137-my-pencil,ready,"finalPrompt: target meaning ""中文 / English""",1,8818,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,138,my ruler,我的尺子,,phrase/task label,"Look, my ruler.",level-138-my-ruler,ready,"finalPrompt: target meaning ""中文 / English""",1,8837,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,139,my book,我的书,,phrase/task label,Here is my book.,level-139-my-book,ready,"finalPrompt: target meaning ""中文 / English""",1,8777,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,140,my bag,我的书包,,phrase/task label,I see my bag.,level-140-my-bag,ready,"finalPrompt: target meaning ""中文 / English""",1,8817,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,141,I can see,我能看见,,phrase/task label,I can see this.,level-141-i-can-see,ready,"finalPrompt: target meaning ""中文 / English""",1,8827,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,142,I can hear,我能听见,,phrase/task label,I can hear this.,level-142-i-can-hear,ready,"finalPrompt: target meaning ""中文 / English""",1,8776,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,143,I can touch,我能触摸,,phrase/task label,I can touch this.,level-143-i-can-touch,ready,"finalPrompt: target meaning ""中文 / English""",1,8782,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,144,Listen carefully,认真听,,phrase/task label,Listen carefully to the bell.,level-144-listen-carefully,ready,"finalPrompt: target meaning ""中文 / English""",1,8918,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,145,Look closely,仔细看,,phrase/task label,Look closely at the leaf.,level-145-look-closely,ready,"finalPrompt: target meaning ""中文 / English""",1,8848,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,146,Use your eyes,用你的眼睛,,phrase/task label,Use your eyes to find it.,level-146-use-your-eyes,ready,"finalPrompt: target meaning ""中文 / English""",1,8862,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,147,Use your ears,用你的耳朵,,phrase/task label,Use your ears for the bell.,level-147-use-your-ears,ready,"finalPrompt: target meaning ""中文 / English""",1,8823,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,148,What helps you learn?,什么帮助你学习？,,phrase/task label,What helps you learn?,level-148-what-helps-you-learn,ready,"finalPrompt: target meaning ""中文 / English""",1,8918,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,149,learning tools,学习工具,,phrase/task label,Put the tools here.,level-149-learning-tools,ready,"finalPrompt: target meaning ""中文 / English""",1,8910,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,150,make a tool list,制作工具清单,,phrase/task label,Start with the pencil.,level-150-make-a-tool-list,ready,"finalPrompt: target meaning ""中文 / English""",1,8916,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,151,sense chart,感官表格,,phrase/task label,Match eye to seeing.,level-151-sense-chart,ready,"finalPrompt: target meaning ""中文 / English""",1,8858,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,152,ask and answer,问答练习,,phrase/task label,Ask me one question.,level-152-ask-and-answer,ready,"finalPrompt: target meaning ""中文 / English""",1,8881,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,153,healthy food,健康食物,,phrase/task label,"Look, healthy food.",level-153-healthy-food,ready,"finalPrompt: target meaning ""中文 / English""",1,8921,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,154,fresh fruit,新鲜水果,,phrase/task label,Here is fresh fruit.,level-154-fresh-fruit,ready,"finalPrompt: target meaning ""中文 / English""",1,8900,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,155,green vegetables,绿色蔬菜,,phrase/task label,I see green vegetables.,level-155-green-vegetables,ready,"finalPrompt: target meaning ""中文 / English""",1,8890,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,156,drink water,喝水,,phrase/task label,Let's drink water.,level-156-drink-water,ready,"finalPrompt: target meaning ""中文 / English""",1,8886,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,157,eat breakfast,吃早餐,,phrase/task label,I can eat breakfast.,level-157-eat-breakfast,ready,"finalPrompt: target meaning ""中文 / English""",1,8869,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,158,What do we eat?,我们吃什么？,,phrase/task label,What do we eat?,level-158-what-do-we-eat,ready,"finalPrompt: target meaning ""中文 / English""",1,8844,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,159,What shall we eat?,我们该吃什么？,,phrase/task label,What shall we eat?,level-159-what-shall-we-eat,ready,"finalPrompt: target meaning ""中文 / English""",1,8870,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,160,I like rice,我喜欢米饭,,phrase/task label,I like rice.,level-160-i-like-rice,ready,"finalPrompt: target meaning ""中文 / English""",1,8847,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,161,I don't like candy,我不喜欢糖果,,phrase/task label,I don't like candy.,level-161-i-don-t-like-candy,ready,"finalPrompt: target meaning ""中文 / English""",1,8967,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,162,Let's eat fruit,我们吃水果吧,,phrase/task label,Let's eat fruit.,level-162-let-s-eat-fruit,ready,"finalPrompt: target meaning ""中文 / English""",1,8928,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,163,choose healthy food,选择健康食物,,phrase/task label,I can choose healthy food.,level-163-choose-healthy-food,ready,"finalPrompt: target meaning ""中文 / English""",1,8956,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,164,food plate,餐盘,,phrase/task label,This plate is empty.,level-164-food-plate,ready,"finalPrompt: target meaning ""中文 / English""",1,8883,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,165,make a lunch menu,制作午餐菜单,,phrase/task label,Pick lunch pictures.,level-165-make-a-lunch-menu,ready,"finalPrompt: target meaning ""中文 / English""",1,8880,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,166,sort food,给食物分类,,phrase/task label,The foods are mixed.,level-166-sort-food,ready,"finalPrompt: target meaning ""中文 / English""",1,8861,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,167,talk about lunch,谈论午餐,,phrase/task label,Show your lunch plate.,level-167-talk-about-lunch,ready,"finalPrompt: target meaning ""中文 / English""",1,8899,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,168,share healthy choices,分享健康选择,,phrase/task label,Choose one good thing.,level-168-share-healthy-choices,ready,"finalPrompt: target meaning ""中文 / English""",1,8928,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,169,old toy,旧玩具,,phrase/task label,Here is old toy.,level-169-old-toy,ready,"finalPrompt: target meaning ""中文 / English""",1,8782,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,170,old book,旧书,,phrase/task label,I see old book.,level-170-old-book,ready,"finalPrompt: target meaning ""中文 / English""",1,8831,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,171,old box,旧盒子,,phrase/task label,"Look, old box.",level-171-old-box,ready,"finalPrompt: target meaning ""中文 / English""",1,8751,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,172,old clothes,旧衣服,,phrase/task label,Here is old clothes.,level-172-old-clothes,ready,"finalPrompt: target meaning ""中文 / English""",1,8843,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,173,This is my old toy,这是我的旧玩具,,phrase/task label,This is my old toy.,level-173-this-is-my-old-toy,ready,"finalPrompt: target meaning ""中文 / English""",1,8905,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,174,It can be reused,它可以被再利用,,phrase/task label,It can be reused.,level-174-it-can-be-reused,ready,"finalPrompt: target meaning ""中文 / English""",1,8899,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,175,make a new toy,做一个新玩具,,phrase/task label,I can make a new toy.,level-175-make-a-new-toy,ready,"finalPrompt: target meaning ""中文 / English""",1,8879,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,176,use an old box,使用旧盒子,,phrase/task label,Now we use an old box.,level-176-use-an-old-box,ready,"finalPrompt: target meaning ""中文 / English""",1,8937,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,177,share old things,分享旧物,,phrase/task label,Let's share old things.,level-177-share-old-things,ready,"finalPrompt: target meaning ""中文 / English""",1,8864,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,178,keep memories,保留回忆,,phrase/task label,I can keep memories.,level-178-keep-memories,ready,"finalPrompt: target meaning ""中文 / English""",1,8929,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,179,What old things do you have?,你有哪些旧物？,,phrase/task label,What old things do you have?,level-179-what-old-things-do-you-have,ready,"finalPrompt: target meaning ""中文 / English""",1,8896,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,180,How can we reuse it?,我们怎样再利用它？,,phrase/task label,How can we reuse it?,level-180-how-can-we-reuse-it,ready,"finalPrompt: target meaning ""中文 / English""",1,8922,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,181,old things show,旧物展示,,phrase/task label,Place the old toy here.,level-181-old-things-show,ready,"finalPrompt: target meaning ""中文 / English""",1,8853,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,182,reuse poster,再利用海报,,phrase/task label,Show the old box first.,level-182-reuse-poster,ready,"finalPrompt: target meaning ""中文 / English""",1,8872,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,183,toy story card,玩具故事卡,,phrase/task label,Put the toy picture first.,level-183-toy-story-card,ready,"finalPrompt: target meaning ""中文 / English""",1,8857,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,184,make and tell,制作并讲述,,phrase/task label,Start with the old box.,level-184-make-and-tell,ready,"finalPrompt: target meaning ""中文 / English""",1,8871,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,185,count and sort,计数并分类,,phrase/task label,Now we count and sort.,level-185-count-and-sort,ready,"finalPrompt: target meaning ""中文 / English""",1,9067,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,186,how many books,有多少本书,,phrase/task label,how many books,level-186-how-many-books,ready,"finalPrompt: target meaning ""中文 / English""",1,9025,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,187,sort by number,按数字分类,,phrase/task label,I can sort by number.,level-187-sort-by-number,ready,"finalPrompt: target meaning ""中文 / English""",1,9127,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,188,more or less,更多或更少,,phrase/task label,I see more or less.,level-188-more-or-less,ready,"finalPrompt: target meaning ""中文 / English""",1,9103,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,189,first place,第一名,,phrase/task label,"Look, first place.",level-189-first-place,ready,"finalPrompt: target meaning ""中文 / English""",1,9044,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,190,second place,第二名,,phrase/task label,Here is second place.,level-190-second-place,ready,"finalPrompt: target meaning ""中文 / English""",1,9073,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,191,choose the bigger number,选择更大的数字,,phrase/task label,Now we choose the bigger number.,level-191-choose-the-bigger-number,ready,"finalPrompt: target meaning ""中文 / English""",1,9143,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,192,read a room number,读房间号,,phrase/task label,Let's read a room number.,level-192-read-a-room-number,ready,"finalPrompt: target meaning ""中文 / English""",1,9202,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,193,date on a card,卡片上的日期,,phrase/task label,I can date on a card.,level-193-date-on-a-card,ready,"finalPrompt: target meaning ""中文 / English""",1,9147,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,194,make a decision,做决定,,phrase/task label,Now we make a decision.,level-194-make-a-decision,ready,"finalPrompt: target meaning ""中文 / English""",1,9137,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,195,Which number is bigger?,哪个数字更大？,,phrase/task label,Which number is bigger?,level-195-which-number-is-bigger,ready,"finalPrompt: target meaning ""中文 / English""",1,9042,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,196,How many groups?,有多少组？,,phrase/task label,How many groups?,level-196-how-many-groups,ready,"finalPrompt: target meaning ""中文 / English""",1,9044,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,197,number survey,数字调查,,phrase/task label,Ask with fruit pictures.,level-197-number-survey,ready,"finalPrompt: target meaning ""中文 / English""",1,9075,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,198,class tally chart,班级统计表,,phrase/task label,Each mark shows one choice.,level-198-class-tally-chart,ready,"finalPrompt: target meaning ""中文 / English""",1,9056,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,199,sort and count project,分类计数项目,,phrase/task label,Sort the shells first.,level-199-sort-and-count-project,ready,"finalPrompt: target meaning ""中文 / English""",1,9089,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,200,numbers in life,生活中的数字,,phrase/task label,Numbers help here.,level-200-numbers-in-life,ready,"finalPrompt: target meaning ""中文 / English""",1,9114,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
island,1,Mom,妈妈,Free Starter · 免费体验,word,,level-001-mom,video-ready,finalPrompt: target English word + Chinese meaning,1,2280,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,2,Dad,爸爸,Free Starter · 免费体验,word,,level-002-dad,video-ready,finalPrompt: target English word + Chinese meaning,1,2231,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,3,Grandma,奶奶,Free Starter · 免费体验,word,,level-003-grandma,video-ready,finalPrompt: target English word + Chinese meaning,1,2244,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,4,Grandpa,爷爷,Free Starter · 免费体验,word,,level-004-grandpa,video-ready,finalPrompt: target English word + Chinese meaning,1,2224,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,5,Hand,手,Free Starter · 免费体验,word,,level-005-hand,video-ready,finalPrompt: target English word + Chinese meaning,1,2175,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,6,Rice,饭,Free Starter · 免费体验,word,,level-006-rice,video-ready,finalPrompt: target English word + Chinese meaning,1,2152,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,7,Water,水,Free Starter · 免费体验,word,,level-007-water,video-ready,finalPrompt: target English word + Chinese meaning,1,2175,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,8,Car,车,Free Starter · 免费体验,word,,level-008-car,video-ready,finalPrompt: target English word + Chinese meaning,1,2140,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,9,Dog,狗,Free Starter · 免费体验,word,,level-009-dog,video-ready,finalPrompt: target English word + Chinese meaning,1,2179,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,10,Book,书,Free Starter · 免费体验,word,,level-010-book,video-ready,finalPrompt: target English word + Chinese meaning,1,2192,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,11,Apple,苹果,水果先遣队,word,,level-011-apple,video-ready,finalPrompt: target English word + Chinese meaning,1,2128,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,12,Banana,香蕉,水果先遣队,word,,level-012-banana,video-ready,finalPrompt: target English word + Chinese meaning,1,2129,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,13,Orange,橙子,水果先遣队,word,,level-013-orange,video-ready,finalPrompt: target English word + Chinese meaning,1,2192,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,14,Watermelon,西瓜,水果先遣队,word,,level-014-watermelon,video-ready,finalPrompt: target English word + Chinese meaning,1,2196,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,15,Strawberry,草莓,水果先遣队,word,,level-015-strawberry,video-ready,finalPrompt: target English word + Chinese meaning,1,2164,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,16,Grape,葡萄,水果先遣队,word,,level-016-grape,video-ready,finalPrompt: target English word + Chinese meaning,1,2154,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,17,Pear,梨,水果先遣队,word,,level-017-pear,video-ready,finalPrompt: target English word + Chinese meaning,1,2086,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,18,Peach,桃子,水果先遣队,word,,level-018-peach,video-ready,finalPrompt: target English word + Chinese meaning,1,2110,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,19,Mango,芒果,水果先遣队,word,,level-019-mango,video-ready,finalPrompt: target English word + Chinese meaning,1,2141,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,20,Cherry,樱桃,水果先遣队,word,,level-020-cherry,video-ready,finalPrompt: target English word + Chinese meaning,1,2118,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,21,Lollipop,棒棒糖,零食甜点,word,,level-021-lollipop,video-ready,finalPrompt: target English word + Chinese meaning,1,2168,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,22,Jelly,果冻,零食甜点,word,,level-022-jelly,video-ready,finalPrompt: target English word + Chinese meaning,1,2134,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,23,Candy,糖果,零食甜点,word,,level-023-candy,video-ready,finalPrompt: target English word + Chinese meaning,1,2109,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,24,Cookie,饼干,零食甜点,word,,level-024-cookie,video-ready,finalPrompt: target English word + Chinese meaning,1,2146,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,25,Chocolate,巧克力,零食甜点,word,,level-025-chocolate,video-ready,finalPrompt: target English word + Chinese meaning,1,2156,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,26,Ice Cream,冰激凌,零食甜点,word,,level-026-ice-cream,video-ready,finalPrompt: target English word + Chinese meaning,1,2141,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,27,Cake,蛋糕,零食甜点,word,,level-027-cake,video-ready,finalPrompt: target English word + Chinese meaning,1,2112,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,28,Donut,甜甜圈,零食甜点,word,,level-028-donut,video-ready,finalPrompt: target English word + Chinese meaning,1,2089,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,29,Popcorn,爆米花,零食甜点,word,,level-029-popcorn,video-ready,finalPrompt: target English word + Chinese meaning,1,2160,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,30,Honey,蜂蜜,零食甜点,word,,level-030-honey,video-ready,finalPrompt: target English word + Chinese meaning,1,2139,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,31,Egg,鸡蛋,吃饭喝喝,word,,level-031-egg,video-ready,finalPrompt: target English word + Chinese meaning,1,2133,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,32,Bun,包子,吃饭喝喝,word,,level-032-bun,video-ready,finalPrompt: target English word + Chinese meaning,1,2069,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,33,Bread,面包,吃饭喝喝,word,,level-033-bread,video-ready,finalPrompt: target English word + Chinese meaning,1,2126,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,34,Milk,牛奶,吃饭喝喝,word,,level-034-milk,video-ready,finalPrompt: target English word + Chinese meaning,1,2129,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,35,Juice,果汁,吃饭喝喝,word,,level-035-juice,video-ready,finalPrompt: target English word + Chinese meaning,1,2139,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,36,Yogurt,酸奶,吃饭喝喝,word,,level-036-yogurt,video-ready,finalPrompt: target English word + Chinese meaning,1,2084,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,37,Cheese,奶酪,吃饭喝喝,word,,level-037-cheese,video-ready,finalPrompt: target English word + Chinese meaning,1,2120,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,38,Soup,汤,吃饭喝喝,word,,level-038-soup,ready,finalPrompt: target English word + Chinese meaning,1,2118,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,39,Noodle,面条,吃饭喝喝,word,,level-039-noodle,ready,finalPrompt: target English word + Chinese meaning,1,2142,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,40,Dumpling,饺子,吃饭喝喝,word,,level-040-dumpling,ready,finalPrompt: target English word + Chinese meaning,1,2128,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,41,Tomato,西红柿,蔬菜大餐,word,,level-041-tomato,ready,finalPrompt: target English word + Chinese meaning,1,2126,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,42,Potato,土豆,蔬菜大餐,word,,level-042-potato,ready,finalPrompt: target English word + Chinese meaning,1,2107,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,43,Pizza,披萨,蔬菜大餐,word,,level-043-pizza,ready,finalPrompt: target English word + Chinese meaning,1,2130,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
island,44,Burger,汉堡,蔬菜大餐,word,,level-044-burger,ready,finalPrompt: target English word + Chinese meaning,1,2089,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-island-levels-v1/tasks.json
